Anexo I. Capacidade Instalada - Brasil,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
Tabela I.1 Capacidade Instalada de Geração Elétrica,,,,,,,,,,,,,,,,
,HIDRO1,,,TERMO,,,EÓLICA,,,SOLAR4,,,NUCLEAR,TOTAL,,
,SP / PIE ²,APE ³,TOTAL,SP e/ou PIE,APE,TOTAL,SP e/ou PIE,APE,TOTAL,SP e/ou PIE,APE,TOTAL,SP e/ou PIE,SP e/ou PIE,APE,TOTAL
1995,50.680,687,51.367,4.197,2.900,7.097,1,0,1,,,0,657,55.535,3.587,59.122
1996,52.432,687,53.119,4.105,2.920,7.025,1,0,1,,,0,657,57.195,3.607,60.802
1997,53.987,902,54.889,4.506,2.920,7.426,1,0,1,,,0,657,59.151,3.822,62.973
1998,55.857,902,56.759,4.793,2.995,7.788,6,0,6,,,0,657,61.313,3.897,65.210
1999,58.085,912,58.997,5.198,3.309,8.507,19,0,19,,,0,657,63.959,4.221,68.180
2000,60.095,968,61.063,6.548,4.075,10.623,19,0,19,,,0,1.966,68.628,5.043,73.671
2001,61.439,970,62.409,6.751,3.730,10.481,21,0,21,,,0,1.966,70.177,4.700,74.877
2002,63.324,1.150,64.474,9.714,4.099,13.813,22,0,22,,,0,2.007,75.067,5.249,80.316
2003,66.494,1.204,67.698,11.292,4.838,16.130,22,0,22,,,0,2.007,79.815,6.042,85.857
2004,67.659,1.429,69.088,14.405,5.151,19.556,27,2,29,,,0,2.007,84.098,6.582,90.680
2005,69.472,1.588,71.060,14.627,5.143,19.770,27,2,29,,,0,2.007,86.133,6.733,92.866
2006,72.006,1.672,73.678,13.886,6.486,20.372,235,2,237,,,0,2.007,88.135,8.159,96.294
2007,73.620,3.249,76.869,14.206,7.023,21.229,245,2,247,,,0,2.007,90.078,10.274,100.352
2008,74.235,3.310,77.545,14.766,8.233,22.999,396,2,398,,,0,2.007,91.404,11.545,102.949
2009,74.853,3.757,78.610,16.277,9.074,25.351,600,2,602,,,0,2.007,93.736,12.834,106.570
2010,76.631,4.072,80.703,17.659,12.030,29.689,925,2,927,1,,1,2.007,97.223,16.104,113.327
2011,78.023,4.436,82.459,17.906,13.337,31.243,1.423,2,1.425,1,,1,2.007,99.359,17.775,117.135
2012,79.673,4.621,84.294,18.558,14.220,32.778,1.890,2,1.892,2,,2,2.007,102.131,18.842,120.973
2013,81.213,4.805,86.018,21.426,15.102,36.528,2.200,2,2.202,2,3,5,1.990,106.831,19.913,126.743
2014,84.330,4.863,89.193,21.800,16.027,37.827,4.886,2,4.888,6,9,15,1.990,113.011,20.901,133.913
2015,86.766,4.884,91.650,21.607,17.956,39.563,7.631,2,7.633,6,15,21,1.990,118.000,22.858,140.858
2016,91.982,4.943,96.925,22.101,19.174,41.275,10.122,2,10.124,20,4,24,1.990,126.215,24.123,150.338
2017,95.273,5.003,100.275,21.900,19.728,41.628,12.281,2,12.283,932,3,935,1.990,132.376,24.736,157.112
2018,99.108,5.031,104.139,20.725,19.798,40.523,14.388,2,14.390,1.793,5,1.798,1.990,138.004,24.836,162.840
2019,104.001,5.058,109.058,21.237,19.982,41.219,15.376,2,15.378,2.464,10,2.473,1.990,145.067,25.051,170.118
2020,104.205,5.066,109.271,22.827,20.230,43.057,17.129,2,17.131,3.271,16,3.287,1.990,149.423,25.314,174.737
2021,104.317,5.033,109.350,24.109,20.757,44.866,20.769,2,20.771,4.570,62,4.632,1.990,155.756,25.854,181.610
2022,104.717,5.004,109.721,24.898,21.387,46.284,23.742,2,23.744,7.192,195,7.387,1.990,162.539,26.588,189.127
2023,104.869,4.988,109.857,25.246,22.090,47.336,28.662,2,28.664,10.517,960,11.477,1.990,171.284,28.040,199.325
2024,104.883,4.981,109.864,24.774,21.465,46.239,29.531,2,29.533,11.646,930,12.576,1.990,172.824,27.379,200.202
SP-Serviço Público         PIE- Produção Independente de Energia       APE -  Autoprodução de energia,,,,,,,,,,,,,,,,
1 Inclui metade da Usina de Itaipu,,,,,,,,,,,,,,,,
"2 Usinas PIE e SP, com partes de APE, estão classificadas como SP / PIE",,,,,,,,,,,,,,,,
"3 Plantas PIE, tradicionalmente APE, estão classificadas em APE.",,,,,,,,,,,,,,,,
4 Solar Fotovoltaicas,,,,,,,,,,,,,,,,
